,Dataset,Tree Size,WeightedF1,Accuracy,Precision,Recall
96,Updated_21D_,47.0,0.6930113104548286,0.693356431599555,,
97,Updated_21D_,48.0,0.6922943049200346,0.692624047548626,,
98,Updated_21D_,49.0,0.6926442152803272,0.6929761552654188,,
99,Updated_21D_,1.0,0.5767068441525315,0.6039351558428755,,
100,Updated_21D_,2.0,0.6235618823559342,0.6330051689412826,,
101,Updated_21D_,3.0,0.6393476590136425,0.6394416980042534,,
102,Updated_21D_,4.0,0.652919947045216,0.6575963718820862,,
103,Updated_21D_,5.0,0.6598740082623948,0.666455402036591,,
104,Updated_21D_,6.0,0.6713318650729277,0.6783707271728567,,
105,Updated_21D_,7.0,0.6735403155875928,0.6820044788101576,,
106,Updated_21D_,8.0,0.6761221368100988,0.6870325770059577,,
107,Updated_21D_,9.0,0.6887404548373453,0.6957930169997606,,
108,Updated_21D_,10.0,0.6921443992530497,0.7023281362234335,,
109,Updated_21D_,11.0,0.7015586779439327,0.7094829650286616,,
110,Updated_21D_,12.0,0.7061649288884131,0.7134406557654117,,
111,Updated_21D_,13.0,0.7094496076263123,0.7162716018084252,,
112,Updated_21D_,14.0,0.7115542409572522,0.7193701497162012,,
113,Updated_21D_,15.0,0.7137914005512329,0.7203701356318926,,
114,Updated_21D_,16.0,0.7132708888918565,0.7201025337671301,,
115,Updated_21D_,17.0,0.7116979233834205,0.7177082012929396,,
116,Updated_21D_,18.0,0.7138293064613255,0.7192152223208124,,
117,Updated_21D_,19.0,0.7117286066731546,0.7164406135124858,,
118,Updated_21D_,20.0,0.7126790721564074,0.7169194800073239,,
119,Updated_21D_,21.0,0.7088784047337561,0.7125674286277658,,
120,Updated_21D_,22.0,0.7092880764093938,0.7126378501711244,,
121,Updated_21D_,23.0,0.7072830903018773,0.7100745059928734,,
122,Updated_21D_,24.0,0.7062721452195668,0.7087646652864045,,
123,Updated_21D_,25.0,0.7047914582440118,0.7068351149983803,,
124,Updated_21D_,26.0,0.7047149992784474,0.706609766059633,,
125,Updated_21D_,27.0,0.7034443149983823,0.705060492105745,,
126,Updated_21D_,28.0,0.7017767314947158,0.7031309418177208,,
127,Updated_21D_,29.0,0.7005965648755655,0.7018070168025803,,
128,Updated_21D_,30.0,0.7002660412233809,0.7013281503077421,,
129,Updated_21D_,31.0,0.6987495692023368,0.6996662018844805,,
130,Updated_21D_,32.0,0.6981979077574422,0.698961986450895,,
131,Updated_21D_,33.0,0.6974600787005589,0.698145096547936,,
132,Updated_21D_,34.0,0.6978148982021336,0.6984408670300418,,
133,Updated_21D_,35.0,0.6964567341855771,0.6970042675455276,,
134,Updated_21D_,36.0,0.6961574270459595,0.6966662441374065,,
135,Updated_21D_,37.0,0.6957869333110794,0.6962296305685836,,
136,Updated_21D_,38.0,0.694967788913904,0.695384572048281,,
137,Updated_21D_,39.0,0.6944618764505791,0.6948493683187561,,
138,Updated_21D_,40.0,0.6947840779742462,0.6951733074182054,,
139,Updated_21D_,41.0,0.6946432249886252,0.6950042957141449,,
140,Updated_21D_,42.0,0.6941059632026851,0.6944409233672765,,
141,Updated_21D_,43.0,0.6936914909884965,0.6940183941071253,,
142,Updated_21D_,44.0,0.6939265970091343,0.6942437430458726,,
143,Updated_21D_,45.0,0.6934419800007067,0.693736707933691,,
144,Updated_21D_,46.0,0.6936095449815274,0.6939057196377516,,
145,Updated_21D_,47.0,0.6933205550390314,0.6936240334643174,,
146,Updated_21D_,48.0,0.6937861888649955,0.6940747313418121,,
147,Updated_21D_,49.0,0.693409520481219,0.6936944550076759,,
148,21D_SMOTE_CV,,0.7152737209142526,,0.7428495995099996,0.7215250489429726
